,date,ndvi
1180,2000-01-03,
819,2000-01-11,
190,2000-01-18,
570,2000-01-26,
820,2000-01-27,
191,2000-02-03,0.361084825048844
571,2000-02-11,0.4385499308506648
192,2000-02-19,
1181,2000-02-20,0.41626482332746184
193,2000-03-06,
194,2000-03-22,0.4604901572068532
821,2000-03-31,
195,2000-04-07,
196,2000-04-23,
822,2000-05-02,
1182,2000-05-10,
823,2000-05-18,0.0062716278043808416
197,2000-05-25,
572,2000-06-02,0.41344396211206913
198,2000-06-10,0.3676395726700624
573,2000-06-18,0.6057771344979604
199,2000-06-26,0.5686293101559083
200,2000-07-12,0.6525275918344657
201,2000-07-28,
1183,2000-07-29,
824,2000-08-22,
1184,2000-08-30,0.5385387868930895
1185,2000-09-15,0.5648840591311455
574,2000-09-22,0.6218864731490612
202,2000-09-30,
1186,2000-10-01,
825,2000-10-09,0.5677387546747923
203,2000-10-16,0.5240824601302544
575,2000-10-24,
826,2000-10-25,
204,2000-11-01,0.5385748594999313
827,2000-11-10,
205,2000-11-17,
1187,2000-11-18,0.43952258490025997
828,2000-11-26,
206,2000-12-03,0.4550741997857888
576,2000-12-11,
829,2000-12-12,0.43980468064546585
830,2000-12-28,0.4508185088634491
207,2001-01-04,0.4527613141884407
1188,2001-01-05,0.43766854144632816
577,2001-01-12,0.4219595814744631
831,2001-01-13,0.44902988957862056
208,2001-01-20,
1189,2001-01-21,0.4390197849522034
578,2001-01-28,
832,2001-01-29,
209,2001-02-05,
1190,2001-02-06,
579,2001-02-13,
833,2001-02-14,
210,2001-02-21,
1191,2001-02-22,
580,2001-03-01,0.44747444801032543
834,2001-03-02,0.4589517178634802
211,2001-03-09,
1192,2001-03-10,0.442593635370334
581,2001-03-17,
835,2001-03-18,0.4689255319535732
212,2001-03-25,
582,2001-04-18,0.48748988782366115
836,2001-04-19,
213,2001-04-26,0.5115814004093409
214,2001-05-12,0.4910057646532854
583,2001-05-20,
584,2001-06-05,0.6510195632775625
837,2001-06-06,0.646690022200346
215,2001-06-13,
216,2001-06-29,0.6339196711778641
1193,2001-06-30,
585,2001-07-07,
217,2001-07-15,
1194,2001-07-16,
838,2001-07-24,0.7541599894563358
1195,2001-08-01,0.13141871616244316
586,2001-08-08,
1196,2001-08-17,0.5313150491565466
1197,2001-09-02,0.5525916113207737
839,2001-09-10,0.6788466081023217
218,2001-09-17,
1198,2001-09-18,0.6326803788542747
587,2001-09-25,
840,2001-10-12,0.6256709098815918
219,2001-10-19,0.5191284008324146
841,2001-10-28,0.5749552665899197
588,2001-11-12,
842,2001-11-13,
220,2001-11-20,
589,2001-11-28,0.4873194924245279
843,2001-11-29,0.4943043310195208
221,2001-12-06,0.47216538401941455
590,2001-12-14,
844,2001-12-15,
222,2001-12-22,0.47654793287316954
1199,2001-12-23,
591,2001-12-30,0.4094140303010742
223,2002-01-07,
1200,2002-01-08,0.46048213727772236
592,2002-01-15,
224,2002-01-23,
593,2002-01-31,0.47849352968235814
845,2002-02-01,
225,2002-02-08,0.4397212409724792
1201,2002-02-09,0.4486685246229172
594,2002-02-16,
846,2002-02-17,
226,2002-02-24,
595,2002-03-04,0.4582333552340666
847,2002-03-05,0.4650190838923057
227,2002-03-12,0.45319180376827717
1202,2002-03-13,
596,2002-03-20,0.4787117466330528
848,2002-03-21,
228,2002-03-28,0.4326011662681898
849,2002-04-06,0.004493397502526586
229,2002-04-13,0.5361810568720102
1203,2002-04-14,0.4464207850396633
850,2002-04-22,
230,2002-04-29,0.47525278509904945
851,2002-05-08,
852,2002-05-24,
231,2002-06-16,
1204,2002-06-17,0.5775163813183706
853,2002-06-25,
232,2002-07-02,0.639862950394551
1205,2002-07-03,0.5636770098159711
597,2002-07-10,0.6314106813321511
854,2002-07-11,0.6212734611084063
855,2002-07-27,0.6728259207059939
233,2002-08-03,
1206,2002-08-04,
856,2002-08-12,0.670567440489928
234,2002-08-19,0.6648230879079727
857,2002-09-13,0.681847345083952
235,2002-09-20,0.6179193283120792
858,2002-09-29,
