,date,ndvi
1991,2000-01-03,
1109,2000-01-11,0.4145525526255369
1553,2000-01-11,0.41502369102090597
189,2000-01-18,0.4187921490520239
569,2000-01-26,0.42423516558483243
1554,2000-01-27,
1110,2000-01-27,
190,2000-02-03,0.4336719079874456
570,2000-02-11,0.45087774749845266
191,2000-02-19,
1992,2000-02-20,0.4218357028439641
1555,2000-02-28,0.47125758323818445
1111,2000-02-28,0.4695808505639434
192,2000-03-06,0.42115546204149723
1993,2000-03-07,
1112,2000-03-15,
1556,2000-03-15,
193,2000-03-22,0.479617727920413
1557,2000-03-31,0.481915136333555
1113,2000-03-31,0.48059660475701094
194,2000-04-07,
1114,2000-04-16,
1558,2000-04-16,
195,2000-04-23,0.5426737228408456
1115,2000-05-02,0.5124956332147121
1559,2000-05-02,0.517131200991571
1994,2000-05-10,
1560,2000-05-18,
1116,2000-05-18,
196,2000-05-25,0.5916704530827701
571,2000-06-02,
1561,2000-06-03,
1117,2000-06-03,
197,2000-06-10,0.5840773130767047
572,2000-06-18,0.6171225421130657
198,2000-06-26,
199,2000-07-12,0.7055553430691361
200,2000-07-28,0.659445927478373
2143,2000-07-29,
1995,2000-07-29,
1562,2000-08-06,0.6422920823097229
1118,2000-08-06,0.6439891625195742
1563,2000-08-22,
1119,2000-08-22,
1996,2000-08-30,
1120,2000-09-07,
1564,2000-09-07,
1997,2000-09-15,0.5531710754148662
573,2000-09-22,0.6045950432308018
1565,2000-09-23,
1121,2000-09-23,
201,2000-09-30,
1998,2000-10-01,
1566,2000-10-09,0.5760079147294164
1122,2000-10-09,0.5742575987242162
202,2000-10-16,0.5555117391049862
574,2000-10-24,0.552346124779433
1567,2000-10-25,
1123,2000-10-25,
203,2000-11-01,0.5643780170939863
1568,2000-11-10,0.4625188377685845
1124,2000-11-10,0.4669558387249708
204,2000-11-17,
1999,2000-11-18,0.48303274903446436
2144,2000-11-18,0.48018442653119564
1125,2000-11-26,0.4873432284221053
1569,2000-11-26,0.48972198786213994
205,2000-12-03,0.5078048855066299
575,2000-12-11,0.5049266256392002
1126,2000-12-12,0.4827381554059684
1570,2000-12-12,0.4810841903090477
1571,2000-12-28,0.4705282202921808
1127,2000-12-28,0.46913973428308964
206,2001-01-04,0.5110094454139471
2000,2001-01-05,0.4652853887528181
2145,2001-01-05,0.4724847381003201
576,2001-01-12,0.47323150001466274
1128,2001-01-13,0.480561513453722
1572,2001-01-13,0.4764434811659157
207,2001-01-20,
2001,2001-01-21,0.47085930790802066
577,2001-01-28,
1573,2001-01-29,
1129,2001-01-29,
208,2001-02-05,
2146,2001-02-06,0.48852163879200816
2002,2001-02-06,0.4887070949189365
578,2001-02-13,
1574,2001-02-14,
1130,2001-02-14,
209,2001-02-21,
2003,2001-02-22,
579,2001-03-01,0.5232889684848487
1575,2001-03-02,0.49333843030035496
1131,2001-03-02,0.4969857013784349
210,2001-03-09,0.5290967961773276
2147,2001-03-10,0.5098325698636472
2004,2001-03-10,0.5003226967528462
580,2001-03-17,
1132,2001-03-18,0.5129837058484554
1576,2001-03-18,0.504288381896913
211,2001-03-25,
1133,2001-04-03,
1577,2001-04-03,
581,2001-04-18,0.5792248630896211
1134,2001-04-19,
1578,2001-04-19,
212,2001-04-26,0.6256517712026834
1579,2001-05-05,
213,2001-05-12,0.5688373390585184
2148,2001-05-13,
582,2001-05-20,
583,2001-06-05,0.6716806851327419
1580,2001-06-06,0.6729323398321867
1135,2001-06-06,0.6790666170418262
214,2001-06-13,
1136,2001-06-22,
1581,2001-06-22,
215,2001-06-29,
2005,2001-06-30,
584,2001-07-07,
216,2001-07-15,
2006,2001-07-16,
1582,2001-07-24,
1137,2001-07-24,
2149,2001-08-01,
2007,2001-08-01,
585,2001-08-08,0.6511326022446156
2008,2001-08-17,0.38368156482465565
2150,2001-08-17,0.38550679688341916
2009,2001-09-02,
2151,2001-09-02,0.423540445576821
1583,2001-09-10,0.6906143734231591
1138,2001-09-10,0.6893700929358602
217,2001-09-17,0.6639103516936302
2152,2001-09-18,
2010,2001-09-18,
586,2001-09-25,
1584,2001-09-26,
1585,2001-10-12,0.6539936698973179
1139,2001-10-12,0.6546570481732488
218,2001-10-19,
1140,2001-10-28,0.6281023747287691
1586,2001-10-28,0.6006993539631367
2153,2001-11-05,0.5229576015844941
587,2001-11-12,
1141,2001-11-13,
1587,2001-11-13,
219,2001-11-20,
588,2001-11-28,0.5462358668446541
1142,2001-11-29,0.5293748886324465
1588,2001-11-29,0.5337898372672498
220,2001-12-06,0.5344156599603593
589,2001-12-14,0.489882365334779
1589,2001-12-15,0.5153816896490753
1143,2001-12-15,0.5199037264101207
221,2001-12-22,0.5412717005237937
2011,2001-12-23,0.4462909335270524
2154,2001-12-23,0.4397252035948137
590,2001-12-30,0.5081798750907183
1590,2001-12-31,
1144,2001-12-31,
222,2002-01-07,
2012,2002-01-08,0.5188900749199092
2155,2002-01-08,0.5220647500827909
591,2002-01-15,
223,2002-01-23,0.5202597756870091
2156,2002-01-24,0.5222696927376091
592,2002-01-31,0.5566860400140285
1591,2002-02-01,0.5029519549570978
1145,2002-02-01,0.5079513480886817
224,2002-02-08,
2013,2002-02-09,0.02538488270074595
593,2002-02-16,
1592,2002-02-17,
1146,2002-02-17,
225,2002-02-24,0.4450793834403157
2014,2002-02-25,
2157,2002-02-25,
594,2002-03-04,0.5733491918072104
1147,2002-03-05,0.5475098052993417
1593,2002-03-05,0.5446148198097944
226,2002-03-12,0.5513530620373785
2015,2002-03-13,
595,2002-03-20,0.6032631122507155
1148,2002-03-21,0.5656383000314236
1594,2002-03-21,0.566157195251435
227,2002-03-28,
1149,2002-04-06,
228,2002-04-13,0.6657709144055843
2016,2002-04-14,0.4162496149074286
2158,2002-04-14,0.4757957973827919
1595,2002-04-22,
1150,2002-04-22,
229,2002-04-29,0.5589536665938795
1596,2002-05-08,
1151,2002-05-08,
1597,2002-05-24,
1152,2002-05-24,
230,2002-06-16,
2017,2002-06-17,0.6094282506965101
2159,2002-06-17,0.6163481543771923
1153,2002-06-25,
231,2002-07-02,0.7310385843738914
2018,2002-07-03,0.6653747693635523
2160,2002-07-03,0.6573458407074213
596,2002-07-10,0.6875263722613454
1154,2002-07-11,0.6969709605909884
1598,2002-07-11,0.6831436739303172
1599,2002-07-27,0.7455405993387103
1155,2002-07-27,0.7419492853805423
232,2002-08-03,
2019,2002-08-04,0.10943844087887555
2161,2002-08-04,0.11152392730582505
1600,2002-08-12,0.5676476955413818
1156,2002-08-12,0.5612867358140647
233,2002-08-19,
1601,2002-09-13,0.7249849056825042
1157,2002-09-13,0.7135067004710436
234,2002-09-20,0.7148080561310053
1602,2002-09-29,
1158,2002-09-29,
235,2002-10-06,0.7569632470607758
1159,2002-10-15,0.6923324195668101
1603,2002-10-15,0.6572474343702197
236,2002-10-22,0.684771659784019
1160,2002-10-31,
1604,2002-10-31,
237,2002-11-07,0.6305179107002914
1605,2002-11-16,
1161,2002-11-16,
238,2002-11-23,
1606,2002-12-02,
1162,2002-12-02,
1607,2002-12-18,0.5822181096300483
1163,2002-12-18,0.5780087569728494
239,2002-12-25,0.5983713380992413
1164,2003-01-03,
1608,2003-01-03,
240,2003-01-10,0.5922170272096992
1165,2003-01-19,0.6070069097913802
1166,2003-02-04,0.5671536158770323
1609,2003-02-04,0.5715710772201419
241,2003-02-11,
1167,2003-02-20,0.5847009238786995
1610,2003-02-20,0.5808174046687782
242,2003-02-27,0.6144622154533863
1168,2003-03-08,
1611,2003-03-08,
243,2003-03-15,0.6132932202890515
1169,2003-03-24,0.6352309230715036
1612,2003-03-24,0.6371235800907016
244,2003-03-31,0.6103270319290459
1170,2003-04-09,0.6351504251360893
1613,2003-04-09,0.6374189043417573
1614,2003-04-25,
245,2003-05-02,
1171,2003-05-11,0.3709659739397466
1615,2003-05-11,0.3704863996244967
246,2003-05-18,
1172,2003-05-27,0.7213071133010089
1616,2003-05-27,0.7105981511995196
597,2003-06-27,
2020,2003-07-06,0.031232865624848012
598,2003-07-13,0.7171243233606219
247,2003-07-21,0.8043089168057556
2162,2003-07-22,0.7247915044426918
2021,2003-08-07,
599,2003-08-14,0.699925092048943
1617,2003-08-15,0.7588976558297872
1173,2003-08-15,0.7584327727556228
248,2003-08-22,0.7658337922766805
2163,2003-08-23,0.6752045154571533
2022,2003-08-23,0.6812531650066376
600,2003-08-30,0.7361063985154033
2023,2003-09-08,0.6909262090921402
601,2003-09-15,0.7046757927164435
249,2003-09-23,0.7410084856674075
2024,2003-09-24,0.6754345064982772
2164,2003-09-24,0.6715235318988562
602,2003-10-01,0.7021428607404232
1618,2003-10-02,0.6519759446382523
1174,2003-10-02,0.6613399218767881
2165,2003-10-10,0.6566964890807867
2025,2003-10-10,0.6550003113225102
603,2003-10-17,0.6900443956255913
1619,2003-10-18,0.6566860819501537
1175,2003-10-18,0.6631263684747475
250,2003-10-25,
2166,2003-10-26,0.3415060816332698
251,2003-11-10,0.6144744738315543
604,2003-11-18,
1620,2003-11-19,0.6408169334754348
1176,2003-11-19,0.6382621699012816
252,2003-11-26,
2167,2003-11-27,
2026,2003-11-27,
1621,2003-12-05,0.5724504093329111
1177,2003-12-05,0.5721270044644674
