,date,ndvi
1586,2000-01-11,0.4899712150295576
755,2000-01-18,0.4877783124645551
375,2000-01-18,0.4887883335351944
1149,2000-01-26,0.47680329084396367
1587,2000-01-27,0.46475624889135364
756,2000-02-03,0.4754342630505562
376,2000-02-03,0.47545518428087236
1150,2000-02-11,0.40670464982589083
377,2000-02-19,0.47005194028218583
757,2000-02-19,0.4728154708941778
1588,2000-02-28,0.49173423498868946
378,2000-03-06,0.4766019761562348
758,2000-03-06,0.4728005568186442
1589,2000-03-15,0.475296721359094
379,2000-03-22,0.47879961282014843
759,2000-03-22,0.4788815503319104
1590,2000-03-31,0.46991575757662446
380,2000-04-07,
1591,2000-04-16,
381,2000-04-23,0.5090885996818543
760,2000-04-23,0.5102310503522555
1592,2000-05-02,0.48636898597081496
761,2000-05-09,
1593,2000-05-18,
762,2000-05-25,0.07492056426902612
382,2000-05-25,
1151,2000-06-02,
1594,2000-06-03,
383,2000-06-10,0.5155483856797218
763,2000-06-10,0.5237173164884249
1152,2000-06-18,0.584251888593038
384,2000-06-26,
764,2000-06-26,
765,2000-07-12,0.6159269909063975
385,2000-07-12,0.6072172194719314
386,2000-07-28,0.6042402366797129
766,2000-07-28,0.6093301385641098
2024,2000-07-29,
1595,2000-08-06,0.5972227623065313
1596,2000-08-22,
1597,2000-09-07,
1153,2000-09-22,
1598,2000-09-23,0.694188803434372
387,2000-09-30,0.659825603167216
767,2000-09-30,0.660781067609787
1599,2000-10-09,0.6656213541825612
388,2000-10-16,0.6329921911160151
768,2000-10-16,0.6339602718750635
1154,2000-10-24,
1600,2000-10-25,
389,2000-11-01,
769,2000-11-01,
1601,2000-11-10,0.5844998250404994
390,2000-11-17,0.5675965696573256
770,2000-11-17,0.5703209151824316
2025,2000-11-18,0.5354540477196374
1602,2000-11-26,0.5503960614403088
391,2000-12-03,0.5532478893796603
771,2000-12-03,0.5533697605133057
1155,2000-12-11,0.5297230740388233
1603,2000-12-12,0.5211919660369554
772,2000-12-19,
1604,2000-12-28,0.4908490548531214
392,2001-01-04,0.5180887152751287
773,2001-01-04,0.5199754079182943
2026,2001-01-05,0.4910963575045267
1156,2001-01-12,0.49695712178945545
1605,2001-01-13,0.48861858844757083
393,2001-01-20,0.4901610086361568
774,2001-01-20,0.48723487009604777
1280,2001-01-28,0.48495532522598905
1157,2001-01-28,0.48638942291339243
1606,2001-01-29,0.4757412557800611
775,2001-02-05,0.480580128232638
394,2001-02-05,0.48500359455744424
2027,2001-02-06,0.48074651062488555
1158,2001-02-13,
1281,2001-02-13,
1607,2001-02-14,0.48852905432383226
395,2001-02-21,0.49077541778484973
776,2001-02-21,0.48915613740682606
1282,2001-03-01,0.4809057568510373
1159,2001-03-01,0.4845040013392767
1608,2001-03-02,0.4756925895810127
777,2001-03-09,0.48631547788778945
396,2001-03-09,0.4844856570164362
2028,2001-03-10,0.4790460705757141
1160,2001-03-17,
1609,2001-03-18,0.48373295317093534
778,2001-03-25,0.4679872537652652
397,2001-03-25,0.47065123021602634
1610,2001-04-03,
1283,2001-04-18,0.5054013063510259
1161,2001-04-18,0.5044986188411712
1611,2001-04-19,
398,2001-04-26,0.5052612339456876
779,2001-04-26,0.506134831905365
1612,2001-05-05,
780,2001-05-12,
399,2001-05-12,
2029,2001-05-13,
1162,2001-05-20,
1284,2001-06-05,0.5806904961665472
1163,2001-06-05,
1613,2001-06-06,0.6129530330499013
400,2001-06-13,
1285,2001-06-21,0.6288560390472413
1614,2001-06-22,
401,2001-06-29,
781,2001-06-29,
1164,2001-07-07,
782,2001-07-15,0.6330749114354451
402,2001-07-15,0.6248746365308762
1286,2001-07-23,
1615,2001-07-24,
2030,2001-08-01,
1287,2001-08-08,0.7044245372215907
1165,2001-08-08,0.6988572965065639
783,2001-08-16,
2031,2001-08-17,
784,2001-09-01,
2032,2001-09-02,0.6616019318501155
1616,2001-09-10,0.7234379172325133
403,2001-09-17,
785,2001-09-17,0.573709567785263
2033,2001-09-18,
1288,2001-09-25,0.26577213779091835
1166,2001-09-25,
1617,2001-09-26,
1618,2001-10-12,0.7005375564098358
404,2001-10-19,
786,2001-10-19,
1619,2001-10-28,
2034,2001-11-05,0.58911325832208
1289,2001-11-12,
1167,2001-11-12,
1620,2001-11-13,
405,2001-11-20,0.5894371589024862
787,2001-11-20,0.5760046482086182
1168,2001-11-28,0.5802431444327038
1290,2001-11-28,0.581363099316756
1621,2001-11-29,0.5890735998749733
406,2001-12-06,0.5723091304302216
788,2001-12-06,0.5730719496806462
1291,2001-12-14,0.5339806288480758
1169,2001-12-14,0.5357035661737125
1622,2001-12-15,0.5500215287009875
407,2001-12-22,0.5535435607035956
2035,2001-12-23,0.5237331733107567
1170,2001-12-30,0.5168800736467043
1292,2001-12-30,0.520402709643046
1623,2001-12-31,0.4842929725845655
789,2002-01-07,0.5276930019259453
408,2002-01-07,0.5268193398912748
2036,2002-01-08,0.4502588366468747
1171,2002-01-15,0.4894077097376188
1293,2002-01-15,0.4871475766102473
790,2002-01-23,0.5234416484832763
409,2002-01-23,0.5225242917736371
2037,2002-01-24,0.5160870432853699
1172,2002-01-31,0.5410433113574982
1294,2002-01-31,0.541896058122317
1624,2002-02-01,0.51900108953317
791,2002-02-08,
410,2002-02-08,
1173,2002-02-16,
1625,2002-02-17,
792,2002-02-24,0.5077446132898331
411,2002-02-24,0.5072939306497574
2038,2002-02-25,
